index,id,text,created_at
0,1599531566090551296,"My thoughts on Notion AI https://t.co/OX3vsT357S  Summary: I believe that this will help push the AI revolution to the next level. Specifically, by augmenting cognition, affecting neurodiverse people the most.  @NotionHQ #neurodiversity #ai",2022-12-04 22:30:17+00:00
1,1598083823044263937,"This Lensa AI app thingy is actually wild, it made so many good ones for me",2022-11-30 22:37:29+00:00
2,1598441629396107266,@jhin_code Ai for clout only. Hahaha.,2022-12-01 22:19:16+00:00
3,1599901221107531779,#Adobe Stock to Allow #AilongNhaiEP11-Generated Images on Its Service https://t.co/zh4dpzn7Y0,2022-12-05 22:59:10+00:00
4,1599909185012891650,On the road again.  This time Austin for @forrester Data Strategy and Insights forum for #AI https://t.co/vwRoEMa2be,2022-12-05 23:30:49+00:00
5,1598464733673291781,This is most definitely worthy of being at #ArtBaselMiami 🥳  Download the OVER App and type in the three.word.geolocation to view this experience.  https://t.co/mtfJzYwcK8  @artbasel @TheMiamiBeachCC! https://t.co/iw00PiT5OQ,2022-12-01 23:51:05+00:00
6,1598820282264846342,@gnosticmilf WTF is this? AI generated nightmare fuel?,2022-12-02 23:23:54+00:00
7,1600269391219654661,#NewProfilePic By the power of AI!! #lensaai #lensa https://t.co/oW0UJIwNIZ,2022-12-06 23:22:09+00:00
8,1600623265554235393,you lame &amp; so angry @ the wrong one. if you’d follow this artist you would know their style &amp; how talented they are. as for new follower they just need to scroll thru their page 2 see. a lot of people been on these AI apps this week so make sure you come @ them with dis energy. https://t.co/1e0SnO5zSE,2022-12-07 22:48:19+00:00
9,1603536762462142467,@Bianca_tainaa ai little dad,2022-12-15 23:45:31+00:00
10,1602430896426057733,#Japan’s Ministry of Defense begins researching how to better influence domestic opinion through SNS using #AI.  Another test case for how countries should use AI ethically #AIBillOfRights https://t.co/vgD1fVaTfz,2022-12-12 22:31:12+00:00
11,1600278732832374792,"Me in a past life, pirate. Made with AI Time Machine by @MyHeritage  #myheritage #myheritageAI #aitimemachine #aiart #ai #artificialintelligence https://t.co/CrQ1c4VHHD",2022-12-06 23:59:16+00:00
12,1606370763270914060,The impact of #GTP3  #chatgtp is feel drastically in #academia. I do not know if any impact study on #Students and their effects on learning and #creativity has been evaluated Is there any tools like the #plagiarism check available to know if the work was assisted by #AI  Answer?,2022-12-23 19:26:49+00:00
13,1623093942206988292,FACE THE ATLAS!  A Quantum tour of the #Surreal!  #abstractart #surrealart  #NFTartwork  #NFTCollection  #canadianartist  #aiartist #lagunabeachart  #florenceart #lazioart  #parisart  #Berlinart #Singaporeart  #seoulart  #AIart  $NFT @Picsart @aiartblog @ai_art_community @NFTails https://t.co/L4H3ui5eQT,2023-02-07 22:58:46+00:00
14,1616571573594619910,@ai_hongo_ Good morning(๑◔‿◔๑)✋😊☀️,2023-01-20 23:01:12+00:00
15,1606364939165237254,"As an Engineering Student, I decided to spend my holiday adding different skills to my career  📌Artificial Intelligence (AI) 📌Computer Aided Applications (CAD)  #Autocad #AI #ArtificialIntelligence #artificalintelligence #Artificial_Intelligence #Engineering #student https://t.co/oM02CYddXy",2022-12-23 19:03:40+00:00
16,1611845781782134793,"AI produced ""Jackson Pollock painting"" https://t.co/GToA6rRMSo",2023-01-07 22:02:35+00:00
17,1610734964965769227,"AI is coming for construction, experts say https://t.co/NMl0JNqzuZ via @constructdive",2023-01-04 20:28:36+00:00
18,1610741102490812429,@HauglandFolke Good challenge🤩 who connects with whom? Empathic Humans or AI? 😉,2023-01-04 20:52:59+00:00
19,1622344895267471373,Bi pedal to quad pedal &amp;their they’re unlawful inslaving mute up top..u get the jist of the picture &amp; mixture to mixture of tree in has chrlorrophils atomic minds of the god ups down good Dre saftey &amp;a few times I thought their Buisness screamed would erase me not even ray 🌟 #Ai,2023-02-05 21:22:19+00:00
20,1610724118516596758,So NextJS now comes with AI features? LOL https://t.co/hiPSSNnJWU,2023-01-04 19:45:30+00:00
21,1606364439229366295,@katthebookmouse @wickedinsignia @NozomiMats Its about their ability to profit. The ai is now avanced enough to replicate human art good enough that its hard to recognize it. So they are after the fact angry,2022-12-23 19:01:41+00:00
22,1610733641285369880,@federicolois @BluEvntHorizon @boriquagato Chat GPT almost never gets flagged for plagiarism but almost always for AI.,2023-01-04 20:23:20+00:00
23,1612176589877280784,@ZulfiqarAhmed69 I have spent my whole last week obsessed with this new AI. Thanks to my brother.,2023-01-08 19:57:06+00:00
24,1615481132988104722,"4. Integrating AI into JS fronts Wow! This is mindblowing and better get a handle on it now.. midjourney, chat gpt, and editor x are changing the web2 game fast",2023-01-17 22:48:10+00:00
25,1606370519191781403,Artists literally have to pull their portfolios in order to thwart AI douchebros. https://t.co/48DA1LuBiE,2022-12-23 19:25:51+00:00
26,1639341001868181523,@EnriqueAudain Github is good though! ChatGPT quite easy and efficient,2023-03-24 18:58:46+00:00
27,1639336391363395612,@kelmerica78 I really like it. It’s not really a horror movie. It’s about a little girl that’s been through a very traumatic event and Megan is an artificial intelligence doll that helps the young girl through the healing process. Of course Megan is her protector so things get interesting!,2023-03-24 18:40:27+00:00
28,1639335430356074524,you know in Steven Spielberg’s A.I. Artificial Intelligence ( a movie that is near and dear to my heart ) the humans that are aggressively anti Mecca? That’s me with A.I.,2023-03-24 18:36:38+00:00
29,1610737715217039392,Let's Explore The Potential Of The Next Generation Notetaking Tools https://t.co/UtEuTNjS0z #ai #ArtificialIntelligence #blockchain #ar #AugmentedReality #notetaking #Productivity,2023-01-04 20:39:32+00:00
30,1636802280883093537,"If I've learned anything from my time working with ChatGPT good ideas are a dime a dozen, good questions are rare.",2023-03-17 18:50:48+00:00
31,1639339473526718503,Still on ChatGPT plugins waitlist? No more!   This article lets you build serverless functions to feed real-time information into #ChatGPT and perform actions on real world services — DIY ChatGPT plugins!  Write your functions in Rust and run on @realwasmedge WasmEdge👇 https://t.co/0D8Pvt4Weu,2023-03-24 18:52:42+00:00
32,1610742796259819560,We have AI but sticky keys are still here?,2023-01-04 20:59:43+00:00
33,1610737950068703273,@TRFitzpatrick @devin_barbin @saroshmawani @cirisworld @jowenwillis @JeffBargmann @honest_ai_ @cirquedusollee @Ronke1127 @ciarannmurphy DM me your email and will add you to the cal invite! Would love to have you &amp; any friends.,2023-01-04 20:40:28+00:00
34,1641152717765607459,"Tinkering With ChatGPT, Workers Wonder: Will This Take My Job? https://t.co/rpEXtOnV6k",2023-03-29 18:57:53+00:00
35,1635711048945631267,"1- Idea: Virtual Reality Fitness  A virtual reality fitness platform that allows users to experience immersive workouts in a variety of environments, from scenic outdoor landscapes to futuristic gyms.",2023-03-14 18:34:38+00:00
36,1634374114721792001,#semiconductor self powered artificial intelligence  https://t.co/ZqhygB2sLc,2023-03-11 02:02:08+00:00
37,1600635344558428160,If you use ai for art youre not an artist,2022-12-07 23:36:19+00:00
38,1625271559362383873,@Fwd_Party #AI so far looks bad for society. Algorithms are current proof.,2023-02-13 23:11:50+00:00
39,1628512818977771522,The judges bilge and bliss jealous wants and envy and those who shouldn’t enslave maybe they should b brave and have fear to from hear here and clear but a friend not to start back @ a cave #Ai,2023-02-22 21:51:27+00:00
40,1626366220617531392,"Perhaps confirming Musk’s fears, in his keynote speech to the WGS, Schwab said mastering technologies such as AI can help global elite “be the master of the world.” @realDonaldTrump @marklevinshow @TuckerCarlson @DanaPerino @greggutfeld @MZHemingway @CR https://t.co/SZqZvY2bZ6",2023-02-16 23:41:38+00:00
41,1629265997986414592,"TPMTech: Amy Morgan of @Altana_AI explains that trade compliance space has some of the biggest, richest data — but needs AI to help focus that data to answer the critical questions facing the industry. #TPMTech #TPM23 #supplychainsustainability @JOC_Updates @SPGMarketIntel https://t.co/IKNmxYGA7v",2023-02-24 23:44:18+00:00
42,1635405164512428032,What’s the best thing that’s been written explaining LLM’s and ChatGPT for a non-technical reader?,2023-03-13 22:19:10+00:00
43,1635792015169568769,"New show from Lost and Watchman show runner Damon Lindelof. Looks interesting and quite timely considering the recent rise in generative #AI, #ChatGPT   Mrs. Davis | Official Trailer | Peacock Original https://t.co/t3ZmrEI8k4 via @YouTube",2023-03-14 23:56:22+00:00
44,1600998280782958592,im not doing the lensa ai art bc i know i’m gna come out suuuper pretty n i’m afraid,2022-12-08 23:38:29+00:00
45,1604975828386729984,@ellaorten This is AI,2022-12-19 23:03:51+00:00
46,1624556862912823296,7 Ways Microsoft Uses AI to Make You Actually Care About Bing. https://t.co/GtyloqmgYf,2023-02-11 23:51:53+00:00
47,1624905229991903232,"The plot of ""My Unexpected Wife"" is like a roller coaster of emotion. It's riveting and full of surprises!   #TucaAndBertie #indie_ #AI  https://t.co/2pCHr6ZlYO https://t.co/0V3K2FTCan",2023-02-12 22:56:10+00:00
48,1603153500325773312,Everybody don turn AI o,2022-12-14 22:22:34+00:00
49,1640171009822130176,"Exciting times for education! With #AIClassroom, educators can leverage artificial intelligence to streamline tasks and personalize learning experiences. Kudos to @DanFitzTweets, @AmandaFoxSTEM, and @WeinsteinEDU for shedding light on this important topic. @teachergoals https://t.co/nkUjLeRpgN",2023-03-27 01:56:56+00:00
50,1637537930863411200,"The young generation should not lose faith when learning programming because AI language models can be extremely helpful tools. So, don't hesitate to use them!",2023-03-19 19:34:01+00:00
51,1634395415633166336,👨🏽‍💼Only share or like if you agree ! #Ok🛑 since we started this #social #media thingy - I fully belive this is the best post so far! Is just #cute but #engaging ! We are continuously learning - build-reset &amp; implement ! https://t.co/0I8is5hRXl,2023-03-11 03:26:47+00:00
52,1637018660056301568,"I wonder if this force is still planning to get rid of, I believe, around 48 of its officers (PCSOs)? I'm a bit confused about this as, after learning of the intentions, I then see a social media post advertising for PCSOs. I wish someone would clarify this. https://t.co/DPcSMaychH",2023-03-18 09:10:37+00:00
53,1639743581173719040,"It’s amazing what AI brings to the content creation market. With the help of AI applications content creators can write articles, blogs, advertisements, books and speeches with the press of one button.  https://t.co/IqZTnoqXvJ   #ai #contentcreators #ChatGPT",2023-03-25 21:38:29+00:00
54,1627772621159890945,Join me in exploring the exciting possibilities of marketing with AI this Friday at 11am with @DigitalMktr  🤖 #marketingstrategy #digitalmarketing,2023-02-20 20:50:10+00:00
55,1630354620206776321,@POTUS Nothing is unusual about the matrix where did Moses get two mothers ☆☆☆ @ai_linkin https://t.co/Bxv5pdFYdY,2023-02-27 23:50:06+00:00
56,1638642190040662017,"@StroteBook Sure, you could. But a city hall employee may not be an expert on your industry. Or she may not know the county registration(s) you need.  And as for relying on Google or ChatGPT for legal advice… https://t.co/kdFiBtYPAn",2023-03-22 20:41:57+00:00
57,1640135018935713793,"“Instead of replacing writers, AI tools like ChatGPT enable them to perform their jobs quicker. They could eliminate writer’s block so that the writer could start drafting sooner.”  https://t.co/FpF5mKeqLa",2023-03-26 23:33:55+00:00
58,1632126226973294594,🧚‍♀️ 🧞‍♂️ 🐰 🎅 👽 🐬 🧙‍♀️🎭 +8+ Live out your wildest DREAMS  Never Quit This is The Fez on the Ai Boards  OVER &amp; OUT …… POLLY WILL BE WITH YOU SOON. https://t.co/YGm6255wQ9,2023-03-04 21:09:50+00:00
59,1638268584525791234,@biasbe @SwampCommunist almost none of this response save perhaps the unconscious reinforcement of the capitalist system in pic 4 is based in Marxism. They're just general critiques of chatGPT,2023-03-21 19:57:22+00:00
60,1628161635406807043,"@Scobleizer Agree with you, Robert.  Soon any existing or new business will incorporate AI in one way or another.",2023-02-21 22:35:58+00:00
61,1640027460875026435,Check out the top 10 ways you can use Google's AI Chatbox Bard!  ___________________________________________  #AI #ArtificialIntelligence #Bard #ChatGPT #Chatbox #Creativity #Writing ___________________________________________ #hipdiscovery #latenightrizz  https://t.co/4sKz6aFFUx,2023-03-26 16:26:31+00:00
62,1639733032943747073,"@cfetter In life's mosaic, threads intricately sown, Experiences lived, both mine and unknown, With tightened screws, my head now clear, Through baby yoga's stretch, I've brought them near.  With ChatGPT's wisdom, a path to explore, Embracing the unknown, I'll fear no more, In rhyming… https://t.co/5SoOT2Cl77",2023-03-25 20:56:34+00:00
63,1638307657856548868,"Google Bard does a decent job of giving you functional responses, albeit with some of the same hallucinations and errors ChatGPT serves up.   It’s just feels way more locked down and uninspired.   The buzz and excitement you got when using ChatGPT is missing.",2023-03-21 22:32:38+00:00
